date,slug,title,description,url
3/10/15,issues,"Which Issues Each Party Debates, or Ignores",Based on an analysis of debate transcripts. With Karen Yourish.,http://www.nytimes.com/interactive/2016/03/11/us/elections/what-parties-debate-or-ignore.html
2/26/15,faces,The Faces of American Power,With Haeyoun Park and Josh Williams.,http://www.nytimes.com/interactive/2016/02/26/us/race-of-american-power.html
2/15/15,scotus,Supreme Court Nominees Considered in Election Years Are Usually Confirmed,"The history of Supreme Court nominations, published in the days after Justice Antonin Scalia&rsquo;s death. With Gregor Aisch, K.K. Rebecca Lai and Karen Yourish.",http://www.nytimes.com/interactive/2016/02/15/us/supreme-court-nominations-election-year-scalia.html
2/2/15,primaries,"Which States Trump, Cruz and Rubio Need to Win",A visualization of the landscape of the presidential race after Iowa for the leading Republican candidates. With Nate Cohn.,http://www.nytimes.com/interactive/2016/02/02/us/cruz-trump-rubio-nomination-paths.html
12/10/15,sales,Gun Sales Soar After Obama Calls for New Restrictions,"What drives gun sales in the United States, which has far more civilian firearms than any other country. Gregor Aisch and I released the <a href='https://github.com/NYTimes/gunsales'>data and code</a> behind our analysis on Github.",http://www.nytimes.com/interactive/2015/12/10/us/gun-sales-terrorism-obama-restrictions.html
11/12/15,traffickers,How Gun Traffickers Get Around State Gun Laws,"A visual story on the underground market for guns, which tend to travel from states with weak gun laws to states with strict gun laws. With Gregor Aisch.",http://www.nytimes.com/interactive/2015/11/12/us/gun-traffickers-smuggling-state-gun-laws.html
15-Oct,guns,How They Got Their Guns,"An examination of where 14 mass public shooters got their guns. At least eight had criminal histories or known mental health issues before buying them legally. With Larry Buchanan, Richard A. Oppel, Jr. and Daniel Victor.",http://www.nytimes.com/interactive/2015/10/03/us/how-mass-shooters-got-their-guns.html
15-Oct,ads,The Cost of Mobile Ads on 50 News Websites,We measured the mix of advertising and editorial on the mobile home pages of the top 50 news websites and found that more than half of all data came from ads and other content filtered by ad blockers. With Gregor Aisch and Wilson Andrews.,http://www.nytimes.com/interactive/2015/10/01/business/cost-of-mobile-ads.html
15-Sep,borders,Closing the Back Door to Europe,"Parts of the main route into Europe were blocked with razor-wire fences and other border controls, forcing migrants to take more dangerous paths. With Sarah Almukhtar and Derek Watkins.",http://www.nytimes.com/interactive/2015/09/15/world/europe/migrant-borders-europe.html
15-Aug,chemicals,Tianjin Blasts Expose the Dangerous Proximity of Toxic Chemicals in China,"After a deadly chemical warehouse explosion in Tianjin, we analyzed satellite photos to show that chemical facilities across China were dangerously close to schools, residential areas and major roads. With Patrick Boehler, K.K. Rebecca Lai, Vanessa Piao and Crystal Tse.",http://www.nytimes.com/interactive/2015/08/21/world/asia/tianjin-china-explosion-hazardous-chemical-sites.html
15-Jul,china-investments,The World According to China,"Where China has outsized influence around the world, based on an analysis of the foreign investments of every country in the world. With Gregor Aisch and K.K. Rebecca Lai.",http://www.nytimes.com/interactive/2015/07/24/business/international/the-world-according-to-china-investment-maps.html
15-May,drought,Your Contribution to the California Drought,The average American consumes more than 300 gallons of California water each week by eating food that was produced there. With Larry Buchanan and Haeyoun Park.,http://www.nytimes.com/interactive/2015/05/21/us/your-contribution-to-the-california-drought.html
